tsp_sheetname,Descriptor,Indexing
T01,Personcharacter,0
T02,selectmedian,1
T03A,agesex1,2
T03B,agesex2,3
T03C,agesex3,4
T03D,agesex4,5
T03E,agesex5,6
T04A,maritalstat1,7
T04B,maritalstat2,8
T04C,maritalstat3,9
T04D,maritalstat4,10
T04E,maritalstat5,11
T05A,socialmaritalstat1,12
T05B,socialmaritalstat2,13
T05C,socialmaritalstat3,14
T06A,indigenoustat1,15
T06B,indigenoustat2,16
T06C,indigenoustat3,17
T07A,numchildeverborn1,18
T07B,numchildeverborn2,19
T07C,numchildeverborn3,20
T08A,COBsex1,21
T08B,COBsex2,22
T09A,AncestryCOB1,23
T09B,AncestryCOB2,24
T09C,AncestryCOB3,25
T10A,LUHsex1,26
T10B,LUHsex2,27
T11A,Engproficbyage1,28
T11B,Engproficbyage2,29
T12A,ReligiousAffil1,30
T12B,ReligiousAffil2,31
T12C,ReligiousAffil3,32
T12D,ReligiousAffil4,33
T12E,ReligiousAffil5,34
T13A,EduInstitution1,35
T13B,EduInstitution2,36
T14A,DwellbyHousecomp1,37
T14B,DwellbyHousecomp2,38
T14C,DwellbyHousecomp3,39
T15A,Dwellbynumresident1,40
T15B,Dwellbynumresident2,41
T16A,Dwellbedroomsfamhh1,42
T16B,Dwellbedroomsfamhh2,43
T16C,Dwellbedroomsfamhh3,44
T17A,Dwellbedroomsgrouphh1,45
T17B,Dwellbedroomsgrouphh2,46
T17C,Dwellbedroomsgrouphh3,47
T18A,Tenurebydwell1,48
T18B,Tenurebydwell2,49
T19A,Rentbylandlord1,50
T19B,Rentbylandlord2,51
T20A,Rent_couplefam1,52
T20B,Rent_couplefam2,53
T21A,Rent_oneparentfam1,54
T21B,Rent_oneparentfam2,55
T22A,Famincbynumchild_couplefam1,56
T22B,Famincbynumchild_couplefam2,57
T23A,Famincbynumchild_onepar1,58
T23B,Famincbynumchild_onepar2,59
T24A,Hhincbyrent1,60
T24B,Hhincbyrent2,61
T24C,Hhincbyrent3,62
T24D,Hhincbyrent4,63
T25A,famcompbymortrepay1,64
T25B,famcompbymortrepay2,65
T25C,famcompbymortrepay3,66
T26,Couplefaminccomparison,67
T27,Famcomp_socialmarital_numchild,68
T28A,coreactivity_assistance1,69
T28B,coreactivity_assistance2,70
T28C,coreactivity_assistance3,71
