GCCSA_CODE_2021,GCCSA_NAME_2021,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total
1GSYD,Greater Sydney,6880,32117,11260,20286,36583,79364,58445,85119,88705,109110,116123,96051,95792,210732,133053,129015,85198,51942,105406,75660,76652,30443,77595,29666,238087,2079290
1RNSW,Rest of NSW,4896,13496,7928,15023,28300,79613,56126,79699,76840,83823,82570,59252,58291,113247,71472,58329,34728,18547,30229,19906,14946,6286,53494,27789,190647,1285478
19799,Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34
2GMEL,Greater Melbourne,6793,32262,12236,21165,35031,82750,61591,89525,96535,117255,125004,103864,100535,212400,136146,122297,77269,43957,82485,58161,51779,18701,76689,30453,265438,2060306
2RVIC,Rest of Vic.,2835,7629,4629,8673,16681,46545,32573,46096,45852,49115,48052,34954,34055,64514,40024,31189,17540,9005,15410,9363,6646,3212,28513,17187,130185,750464
29799,Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49
3GBRI,Greater Brisbane,2692,11442,5101,9440,17229,42639,36073,48657,53092,63418,66286,53514,52065,109381,70166,60957,39174,21981,38138,26955,22588,7782,46075,14189,98787,1017815
3RQLD,Rest of Qld,4276,13305,7014,12451,22745,60830,46773,68551,67745,75039,75887,55824,55267,107987,66931,54442,31482,16763,28720,17701,12414,5544,63107,26154,180729,1177685
39799,Migratory - Offshore - Shipping (Qld),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,89,98
4GADE,Greater Adelaide,1571,6517,3331,7351,13716,34834,25675,34188,36674,41819,41730,31745,30097,60002,38814,30883,18745,10139,15694,10914,8605,3168,25396,8520,54335,594482
4RSAU,Rest of SA,771,1853,1280,2777,5161,14576,9267,14388,13267,13365,13171,8726,8433,14988,8609,6408,3295,1630,2796,1457,1026,688,9073,4972,51912,213880
49799,Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
5GPER,Greater Perth,2561,10366,4824,9577,16627,39075,30180,39945,41603,50035,51586,42665,41385,88050,56021,52569,31967,17575,36181,25174,19629,6824,59534,12437,96903,883307
5RWAU,Rest of WA,830,2542,1496,3178,5040,12388,8597,13124,12401,14136,13765,10508,10812,22126,13010,12376,6729,3404,7500,4179,3022,1355,16821,6836,60766,266936
59799,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,0,0,158,170
6GHOB,Greater Hobart,281,928,488,1174,2243,6430,4743,6113,6388,7489,7611,5897,5454,10629,6835,5400,3387,1879,2700,1758,1346,497,4831,1603,10411,106512
6RTAS,Rest of Tas.,477,1281,910,1987,3986,11332,7407,11117,10167,10404,10049,7172,6653,12096,7206,5196,2812,1363,2182,1251,794,487,6666,2937,26866,152790
69799,Migratory - Offshore - Shipping (Tas.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
7GDAR,Greater Darwin,157,473,191,453,1002,1563,1194,1676,2030,2729,3083,2753,2855,6526,4100,3836,2708,1566,2519,1604,1361,405,4467,1151,8302,58684
7RNTE,Rest of NT,107,296,319,641,592,1345,904,1571,1741,2176,2196,1759,1643,3341,1897,1830,1065,537,1057,561,486,168,2132,1696,7732,37807
79799,Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71,74
8ACTE,Australian Capital Territory,245,1349,635,1242,2249,5086,3862,5247,6117,8218,10129,9976,9706,22468,13149,14082,10431,6336,12465,7667,8244,2511,7150,1561,17046,187156
89799,Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,Other Territories,11,18,23,18,43,99,67,104,107,123,122,96,109,166,98,95,60,21,46,20,17,5,102,56,578,2207
99799,Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
